ID,질문,대답,
358,메카 학과장님이 누군지 아는사람,정명진 교수님,0.740175843
359,남윤석 교수님 연구실 좀 알려주오,공학관 B동 317호,0.875965933
360,메카트로닉스입문은 뭐 배우노?,"전공필수
메카트로닉스공학 입문자에게 공학에 대한 이해와 전공이수에 필요한 기초이론을 가르쳐 전공에 대한 이해도를 높인다.",0.300116543
361,메카트로닉스 공학과 커리어 교과 뭐있어?,진로와 미래,0.576089944
362,창의적공학설계에 대해 알려주면 감사하겠습니다,"전공필수
메카트로닉스공학 입문자에게 공학에 대한 이해와 전공이수에 필요한 기초이론을 가르쳐 전공에 대한 이해도를 높인다.",0.391377167
363,센서에 대해 알려주시오,"전공선택
제어 대상의 상태를 파악하기 위해 각종 센서의 원리와 활용법을 학습하고 측정대상에 적합한 센서를 선정 및 응용하는 능력을 갖도록 하는데 있다.",0.854491968
364,16학번 졸업요건 좀 알려주오,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점",0.570748375
365,메카트로닉스 공학과 학생 회장 누굴까?,임현종,0.25649093
366,남윤석 교수님 연구실 알려줘,공학관 B동 317호,0.785346491
367,전자회로는 뭘 배울까요?,"전공필수
전자소자의 특성 및 응용회로들에 대해 학습한다. 반도체 원리 및 이를 이용한 기본 전자소자인 다이오드 및 트랜지스터의 구조와 동작원리에 대해 학습하고, 이러한 기본 전자소자들로 구성된 대표적인 집적회로인 연산증폭기에 대해 학습하여 전자회로의 분석 및 설계 능력을 배양한다.",0.856468011
368,메카 과사 번호를 알려주세요,031-8041-0450,0.308892002
369,컴퓨터응용설계2에 대해 알려주시면 감사하겠습니다,"전공선택
제도이론의 숙지, 투상법, 도형의 표시, 치수기입법에 대한 학습을 통해 도면화할 수 있는 능력을 확보하고, 3차원 설계 기본개념과 SolidWorks사용법의 학습을 통해 가공하지 않고 3차원 구조물을 설계할 수 있는 능력을 갖게 한다.",0.417635099
370,메카 랩실은 뭐가 있나?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.645177165
371,핵심교양 과목 알려줄래?,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.882735146
372,메카트로닉스 공학과 추천 융합전공은?,"스마트팩토리, 인공지능융합,지능형로봇융합",0.790947975
373,B동 학과 사무실 번호 알려주오,031-8041-0450,0.543380117
374,차동혁 교수님 연구실 알려줘,공학관 B동 316호,0.825844217
375,성적우수장학생 취득학점 좀,"           취득학점        학과과목
1학년 : 16학점 이상    16학점 이상
2학년 : 16학점 이상    12학점 이상
3학년 : 16학점 이상    12학점 이상
4학년 : 9학점 이상       9학점 이상",0.749244576
376,스마트팩토리디바이스제어에 대해 알려주세요,"전공선택
디바이스(센서, 액추에이터, 신호 입출력 장치), 통신 및 제어시스템의 기본원리 이해 ? 디바이스 활용한 현장 맞춤형 프로젝트 실습 ? 역량강화 성취도를 높이기 위하여 온라인-오프라인 강의와 전문가 특강, 그리고 실습(Team project)을 병행 ? 스마트팩토리 구현 시 발생 가능한 문제점에 대한 개선안 도출",0.41247548
377,메카트로닉스 공학과 부전공 추천해주오,"스마트팩토리, 인공지능융합,지능형로봇융합",0.241238953
378,남윤석 교수님 번호 좀요,031)8041-0456,0.045451767
379,공업역학에 대해 알려주소,"전공필수
시스템 메커니즘 설계 및 응용에서 요구되는 힘, 모멘트의 원리를 이해하고, 안정된 시스템을 설계하기 위해 역학 기반의 자유물체도 및 평형방정식의 개념을 학습함으로 다양한 메카트로닉스 시스템에 적용할 수 있도록 기본적인 역학개념의 습득에 있다.",0.120914937
380,17학번 졸업요건이 뭔가요?,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점",0.101602435
381,디지털회로실험은 뭐 배우노?,"전공필수
'디지털회로'교과에서 학습한 디지털 조합/순차 논리회로에 대한 실험 및 실습을 통해 회로 동작의 원리와 특성을 이해한다.",0.34660375
382,마이크로컴퓨터구조는 뭘 배우지?,"전공선택
마이크로프로세서의 중앙처리 장치, 레지스터, 산술연산장치 및 내부 주변회로 등의 하드웨어 구조를 이해하고, 기억장치 및 외부 주변 장치와의 인터페이스 방법 등에 대해 학습하여 마이크로컴퓨터시스템의 구축방법을 습득한다. 또한 마이크로컴퓨터 프로그래밍을 위한 C언어를 이해하고 C언어를 이용하여 마이크로컴퓨터 시스템을 동작시키는 방법을 실습과 더불어 습득한다.",0.694345291
383,메카 관련 부전공이 뭐뭐있냐?,"스마트팩토리, 인공지능융합,지능형로봇융합",0.796229835
384,공업수학2는 뭘 배우지?,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다.",0.979592026
385,컴퓨터응용설계2는 뭐 가르치나요?,"전공선택
제도이론의 숙지, 투상법, 도형의 표시, 치수기입법에 대한 학습을 통해 도면화할 수 있는 능력을 확보하고, 3차원 설계 기본개념과 SolidWorks사용법의 학습을 통해 가공하지 않고 3차원 구조물을 설계할 수 있는 능력을 갖게 한다.",0.950897321
386,정명진 교수님 번호 내놔,031)8941-0461,0.205272977
387,마이크로컴퓨터응용은 뭐 배우노?,"전공선택
메모리, 입출력 장치 및 주변장치를 포함하는 교육용 원칩 마이크로컴퓨터 시스템을 활용한 실습을 통해 원칩 마이크로컴퓨터의 기능과 동작방법에 대해 학습하여 마이크로컴퓨터 보드의 설계 및 제작 능력을 배양한다.",0.210196091
388, 18학번 전공필수 내놔,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.733404228
389,공업역학에 대해 알려주세요,"전공필수
시스템 메커니즘 설계 및 응용에서 요구되는 힘, 모멘트의 원리를 이해하고, 안정된 시스템을 설계하기 위해 역학 기반의 자유물체도 및 평형방정식의 개념을 학습함으로 다양한 메카트로닉스 시스템에 적용할 수 있도록 기본적인 역학개념의 습득에 있다.",0.595748079
390,스마트팩토리HMI는 뭘 배워?,"전공선택
인간과 인간 또는 인간과 로봇의 소통을 위해서는 시각 인식 기술이 필요하다. 본 과목에서는 로봇의 시각 요소인 광학의 기본 개념에 대해 이해하고, 카메라를 통하여 입력 영상에 대한 기본적인 처리 기술에 대해 익힌다. 또한 실제 산업현장에서 로봇이 외부 환경을 인식하고 상황을 판단하기 위한 센서에 대해 살펴보고자 한다.",0.105332591
391,공업역학에 대해 알려줘요,"전공필수
시스템 메커니즘 설계 및 응용에서 요구되는 힘, 모멘트의 원리를 이해하고, 안정된 시스템을 설계하기 위해 역학 기반의 자유물체도 및 평형방정식의 개념을 학습함으로 다양한 메카트로닉스 시스템에 적용할 수 있도록 기본적인 역학개념의 습득에 있다.",0.611148058
392,김효영 교수님 연구실 위치 좀 알려주오,공학관 B동 308호,0.0885605
393,마이크로컴퓨터구조는 뭐 배우디지털회로실험는이지 알려줘,"전공선택
마이크로프로세서의 중앙처리 장치, 레지스터, 산술연산장치 및 내부 주변회로 등의 하드웨어 구조를 이해하고, 기억장치 및 외부 주변 장치와의 인터페이스 방법 등에 대해 학습하여 마이크로컴퓨터시스템의 구축방법을 습득한다. 또한 마이크로컴퓨터 프로그래밍을 위한 C언어를 이해하고 C언어를 이용하여 마이크로컴퓨터 시스템을 동작시키는 방법을 실습과 더불어 습득한다.",0.401441012
394,남윤석 교수님 번호 좀,031)8041-0456,0.890942072
395,19학번 전필 과목 알려주시오,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.995805913
396,16학번 졸업요건이 궁금해요,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점",0.882103229
397,김기현 교수님 번호 알려주오,031)8041-0460,0.728573536
398,계측공학은 뭘 배우지?,"전공선택
기계계측의 기초를 강의하는 것으로서 각종 센서 출력의 특성을 파악하고 측정하고자 하는 물리량의 올바른 계측방법과 계측 후의 데이터 처리 방법을 습득하고 LabVIEW를 사용하여 계측시스템을 구현하는 방법을 갖추도록 한다.",0.302378185
399,강대진 교수님 연구실 위치 좀요,공학관 B동 306호,0.656594394
400,허헌 교수님 연구실 좀 알려주오,공학관 B동 408호,0.679675814
401,메카 학과장님이 누군지 알려줄래?,정명진 교수님,0.818572746
402,17학번 졸업요건이 뭐지요?,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점",0.502442998
403,17학번 졸업기준이 어떻게 되오??,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점",0.899054438
404,메카트로닉스 공학기초 과목 뭐있을까?,"글쓰기, 영어1.2, 글로벌잉글리쉬, 가치와비전, 창의와실천",0.702323205
405,메카 학과장님이 누군지 알고싶어,정명진 교수님,0.599731313
406,메카 연구실은 뭐가 있을까?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.871686874
407,김기현 교수님 연구실 어디오,공학관 B동 308호,0.005698916
408,디지털회로는 뭘 배워?,"전공필수
디지털의 수 체계 및 조합논리와 순서회로를 이해하여 디지털시스템의 동작원리의 이해 및 설계능력을 갖추도록 하고, 마이크로프로세서 및 컴퓨터시스템을 이해하기 위한 기본능력을 갖추도록 한다.",0.065348606
409,B동 학과 사무실 어디오,공학관 B동 307호,0.871365908
410,계측공학은 뭘 배울까요?,"전공선택
기계계측의 기초를 강의하는 것으로서 각종 센서 출력의 특성을 파악하고 측정하고자 하는 물리량의 올바른 계측방법과 계측 후의 데이터 처리 방법을 습득하고 LabVIEW를 사용하여 계측시스템을 구현하는 방법을 갖추도록 한다.",0.234489951
411,메카 연구실 뭐가 있을까요?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.56052371
412,종합설계기획은 뭘 배울까?,"전공필수
창의적 공학설계, 교양학적 사고, 기초전공지식, 전공 심화 등의 내용을 기반으로 메카트로닉스 전공 교과목의 개념을 종합적으로 이해하여 전공 관련 제품을 설계하기 위한 기획을 행한다.",0.280379108
413,16학번 졸업요건,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점",0.192353385
414,김효영 교수님 연구실 위치 좀요,공학관 B동 308호,0.085228044
415,메카 학과장님이 누군지 알려줄 수 있어?,정명진 교수님,0.986428055
416,마이크로컴퓨터구조는 뭐 가르치지?,"전공선택
마이크로프로세서의 중앙처리 장치, 레지스터, 산술연산장치 및 내부 주변회로 등의 하드웨어 구조를 이해하고, 기억장치 및 외부 주변 장치와의 인터페이스 방법 등에 대해 학습하여 마이크로컴퓨터시스템의 구축방법을 습득한다. 또한 마이크로컴퓨터 프로그래밍을 위한 C언어를 이해하고 C언어를 이용하여 마이크로컴퓨터 시스템을 동작시키는 방법을 실습과 더불어 습득한다.",0.971034416
417,핵심교양 과목 뭔가?,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.376839729
418,20학번 전필 좀 알려줄래?,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.61360614
419,어떤 메카 EH이 있죠?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.207876597
420,핵교 좀 알려줄수있니?,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.258712758
421,핵심교양 과목 뭐?,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.671661377
422,메카트로닉스공학과 학생 부회장?,안태준,0.267828686
423,C프로그래밍2는 뭘 배우지?,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다.",0.324535006
424,디지털회로실험에 대해 알려줘,"전공필수
'디지털회로'교과에서 학습한 디지털 조합/순차 논리회로에 대한 실험 및 실습을 통해 회로 동작의 원리와 특성을 이해한다.",0.1687197
425,16학번 졸업기준은 어떻게 돼요?,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점",0.49580167
426,C프로그래밍2는 뭘 배우나요?,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다.",0.255413295
427,메카 과사 번호 좀 알려주세요,031-8041-0450,0.404931024
428,남대훈 교수님 연구실 위치가 어디노,공학관 B동 318호,0.741859776
429,남대훈 교수님 이메일 좀요,dhnam@kpu.ac.kr,0.38660523
430,메카트로닉스 공학과 학생 부회장 누군가요?,안태준,0.610381851
431,핵심교양 뭔가요?,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.539299401
432,디지털회로는 뭘 배울까?,"전공필수
디지털의 수 체계 및 조합논리와 순서회로를 이해하여 디지털시스템의 동작원리의 이해 및 설계능력을 갖추도록 하고, 마이크로프로세서 및 컴퓨터시스템을 이해하기 위한 기본능력을 갖추도록 한다.",0.812054488
433,센서는 뭘 배울까요?,"전공선택
제어 대상의 상태를 파악하기 위해 각종 센서의 원리와 활용법을 학습하고 측정대상에 적합한 센서를 선정 및 응용하는 능력을 갖도록 하는데 있다.",0.993485673
434,PC제어응용은 뭘 배울까?,"전공선택
아날로그 신호 및 디지털신호를 처리하기 위한 DAQ카드의 구조 및 사용법을 이해하여 Windows 기반의 컴퓨터에서 신호입출력 및 RS232, 블루투스 기술과 접목하여 PC를 활용한 제어기술을 구현할 수 있도록 한다.",0.673537114
435,스마트융합기초에 대해 알려주시오,"전공필수
스마트 융합제품을 구성하는 컴포넌트인 MCU(아두이노, M-Bed 등), 센서, 모터 등에 대해 기본적인 이론을 학습하고, Open Source를 이용하여 하나의 제품(3D 프린터, 휴머노이드 로봇)으로 제작하는 과정을 경험하여 메카트로닉스 기반 제품 설계 및 제작의 기초 지식 및 능력을 갖추도록 한다.",0.036590842
436,19학번 전필 과목 알려줘,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.289162589
437,전기회로1에 대해 알려주소,"전공필수
전기전자분야의 교과를 수강하기 위한 선수적 교과내용으로써 기본적인 전기지식을 배운다. 직류회로를 중심으로 기본적인 소자, 회로해석 및 전기에너지의 전달관계를 이해하고, 실험을 통하여 이론을 검증한다.",0.685670747
438,시스템제어공학에 대해 알려주세요,"전공선택
근궤적해석, 주파수응답해석, 제어시스템 설계기법 및 PID 제어기 튜닝방법 등",0.585878607
439,메카 학과 행정실 번호가 뭐야,031-8041-0450,0.748169608
440,이익현 교수님 번호 알려줘,031) 8041-0467,0.720377025
441,정명진 교수님 연구실 어디노,공학관 B동406호,0.516443035
442,전기회로2는 뭘 배워?,"전공필수
가정 및 산업용의 실용적인 교류회로를 이해한다. 교류회로에서 사용되는 부하소자인 저항, 인덕턴스 및 커패시턴스의 특성을 이해하고 이를 이용한 회로구성 및 해석을 중점적으로 배운다. 또한 실험을 통하여 전반적인 전기회로 특성을 이해한다.",0.975883276
443, 18학번 전공필수 알려주세요,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.64955086
444,학과 사무실 B동 몇 층이오,공학관 B동 307호,0.408752652
445,정명진 교수님 연구실 어디야,공학관 B동406호,0.940274683
446,서보전동기2는 뭘 배우나요?,"전공선택
고급 정밀 제어시스템의 구동기로서의 서보전동기의 동작특성 및 구동특성, 구동방법을 다룬다. 교류서보전동기, 직류서보전동기, 그 외 정밀 소형전동기의 종류와 원리, 전력변환 회로를 배우며 제어기의 설계 등을 통하여 서보제어시스템 설계 능력을 배양한다.",0.019800792
447,이석원 교수님 연구실 좀 알려줘,공학관 B동 407호,0.412531545
448,스마트팩토리HMI에 대해 알려줘,"전공선택
인간과 인간 또는 인간과 로봇의 소통을 위해서는 시각 인식 기술이 필요하다. 본 과목에서는 로봇의 시각 요소인 광학의 기본 개념에 대해 이해하고, 카메라를 통하여 입력 영상에 대한 기본적인 처리 기술에 대해 익힌다. 또한 실제 산업현장에서 로봇이 외부 환경을 인식하고 상황을 판단하기 위한 센서에 대해 살펴보고자 한다.",0.311917315
449,반도체장비개론은 뭘 배울까?,"전공선택
DRAM, NAND Flash를 포함한 반도체 소자 제조에 필요한 에칭, 증착, 패터닝 등에 사용되는 반도체 공정 장비들의 작동 원리를 이해하고 관련 지식을 습득한다.",0.063399952
450,김효영 교수님 연구실 어디야,공학관 B동 308호,0.01411033
451,핵심교양 읊조려봐요,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.460248682
452,남윤석 교수님 이메일 좀요,nys911@kpu.ac.kr,0.158309766
453,이승훈 교수님 연락처 알려줘,031)8041-0367,0.05744121
454,C프로그래밍2는 뭐 가르치나요?,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다.",0.022207203
455,시스템제어공학에 대해 알려주시오,"전공선택
근궤적해석, 주파수응답해석, 제어시스템 설계기법 및 PID 제어기 튜닝방법 등",0.917559262
456,19학번 전필 과목 알려주세요,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.616145121
457,종합설계기획에 대해 알려주시오,"전공필수
창의적 공학설계, 교양학적 사고, 기초전공지식, 전공 심화 등의 내용을 기반으로 메카트로닉스 전공 교과목의 개념을 종합적으로 이해하여 전공 관련 제품을 설계하기 위한 기획을 행한다.",0.106957042
458,컴퓨터응용설계2에 대해 알려주면 감사하겠습니다,"전공선택
제도이론의 숙지, 투상법, 도형의 표시, 치수기입법에 대한 학습을 통해 도면화할 수 있는 능력을 확보하고, 3차원 설계 기본개념과 SolidWorks사용법의 학습을 통해 가공하지 않고 3차원 구조물을 설계할 수 있는 능력을 갖게 한다.",0.316928073
459,메카 융합전공 좀,"스마트팩토리, 인공지능융합,지능형로봇융합",0.346742281
460,스마트팩토리HMI에 대해 알려주라,"전공선택
인간과 인간 또는 인간과 로봇의 소통을 위해서는 시각 인식 기술이 필요하다. 본 과목에서는 로봇의 시각 요소인 광학의 기본 개념에 대해 이해하고, 카메라를 통하여 입력 영상에 대한 기본적인 처리 기술에 대해 익힌다. 또한 실제 산업현장에서 로봇이 외부 환경을 인식하고 상황을 판단하기 위한 센서에 대해 살펴보고자 한다.",0.151018378
461,서보전동기2는 뭐 배우노?,"전공선택
고급 정밀 제어시스템의 구동기로서의 서보전동기의 동작특성 및 구동특성, 구동방법을 다룬다. 교류서보전동기, 직류서보전동기, 그 외 정밀 소형전동기의 종류와 원리, 전력변환 회로를 배우며 제어기의 설계 등을 통하여 서보제어시스템 설계 능력을 배양한다.",0.065415739
462,허헌 교수님 번호 내놔,031)8041-0463,0.685907853
463,19학번 전공필수 알려주오,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.377963083
464,허헌 교수님 번호 좀,031)8041-0463,0.902121294
465,메카 학생 부회장 누구야?,안태준,0.312531564
466,17학번 전필 좀 알려주게나!!!,"1학년:메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2, 공업역학, 스마트융합기초, 디지털회로, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획
4학년: 종합설계1, 종합설계2",0.961632653
467,강대진 교수님 번호 알려주오,031)8041-0453,0.868540006
468,메카 학과 사무실 위치 좀요,공학관 B동 307호,0.475902487
469,이승훈 교수님 연구실 위치 좀 알려주오,공학관 B동 409호,0.921976897
470,김효영 교수님 연구실 위치가 어디야,공학관 B동 308호,0.652521152
471,정명진 교수님 연구실 위치 좀,공학관 B동406호,0.974092083
472,비주얼프로그래밍은 뭐 가르쳐요?,"전공필수
C++ 를 기반으로 다양한 MFC클래스를 활용하여 윈도우 기반의 비주얼 프로그램을 작성한다. 다양한 MFC 클래스, API 및 GDI 개념을 학습하고 이를 활용하여 파일 입출력, 그래픽, 네트워크 통신이 가능한 윈도우 응용 프로그램을 작성한다.",0.603598198
473,주형길 교수님 연구실 어디노,공학관 B동 312호,0.291764496
474,김효영 교수님 연락처 내놔,031)8041-0464,0.410289973
475,스마트팩토리디바이스제어는 뭘 배우지?,"전공선택
디바이스(센서, 액추에이터, 신호 입출력 장치), 통신 및 제어시스템의 기본원리 이해 ? 디바이스 활용한 현장 맞춤형 프로젝트 실습 ? 역량강화 성취도를 높이기 위하여 온라인-오프라인 강의와 전문가 특강, 그리고 실습(Team project)을 병행 ? 스마트팩토리 구현 시 발생 가능한 문제점에 대한 개선안 도출",0.480381822
476,무슨 메카 연구실이 있어?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.282977936
477,PLC제어는 뭐 배우노?,"전공선택
자동화에 많이 활용되고 있는 PLC-공압 시스템 구축을 위해 공압제어기술의 개념, 공압발생장치, 작동요소, 제어요소(공압 밸브) 등의 공압시스템의 구성요소들의 종류, 작동원리, 시스템에서의 역할을 배우며, 전기 시퀀스 구성요소, 원리및 용도들을 익혀 전기-공압회로 설계법 등을 이론 및 실습을 통해 익힌다. 또한 자동화 시스템에서 제어기로 가장 많이 활용되고 있는 PLC의 구성과 원리, 선정법, PLC프로그래밍들을 이론과 실습으로 익힌다.",0.929499174
478,기계요소설계에 대해 알려줘,"전공선택
자동화 기구 시스템을 설계할 때 고려해야 하는 각종 요소들의 설계방법과 선정방법 등을 학습하여 효율적인 기구를 설계할 수 있는 능력을 배양한다.",0.417090805
479,이익현 교수님 번호 내놔,031) 8041-0467,0.572741683
480,핵교 좀 알려주라,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.898220651
481,이석원 교수님 번호 알려주오,031)8041-0462,0.75672911
482,무슨 메카 EH이 있습니까?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.608254424
483,메카 학과 행정실 운영시간 좀요,"운영시간 09:30 ~ 22:00(학기중)
점심시간 12:00 ~ 13:00",0.453468587
484,신호및시스템은 뭘 배울까?,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다.",0.484886965
485,마이크로컴퓨터응용은 뭐 가르쳐?,"전공선택
메모리, 입출력 장치 및 주변장치를 포함하는 교육용 원칩 마이크로컴퓨터 시스템을 활용한 실습을 통해 원칩 마이크로컴퓨터의 기능과 동작방법에 대해 학습하여 마이크로컴퓨터 보드의 설계 및 제작 능력을 배양한다.",0.753622949
486,핵심교양 뭔줄알아?,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.703949464
487,마이크로컴퓨터응용에 대해 알려주라,"전공선택
메모리, 입출력 장치 및 주변장치를 포함하는 교육용 원칩 마이크로컴퓨터 시스템을 활용한 실습을 통해 원칩 마이크로컴퓨터의 기능과 동작방법에 대해 학습하여 마이크로컴퓨터 보드의 설계 및 제작 능력을 배양한다.",0.569476453
488,정명진 교수님 번호 알려주게나,031)8941-0461,0.781553802
489,심재홍 교수님 번호,031)8041-0458,0.562338413
490,허헌 교수님 이메일 뭐야,heon.huh@kpu.ac.kr,0.857681175
491,이양희 교수님 번호 좀,031)8041-0455,0.976091588
492,비주얼프로그래밍은 뭐 가르쳐?,"전공필수
C++ 를 기반으로 다양한 MFC클래스를 활용하여 윈도우 기반의 비주얼 프로그램을 작성한다. 다양한 MFC 클래스, API 및 GDI 개념을 학습하고 이를 활용하여 파일 입출력, 그래픽, 네트워크 통신이 가능한 윈도우 응용 프로그램을 작성한다.",0.435675733
